EmployeeID,Department,HireDate,Age,Salary,PerformanceScore,TrainingHours,EngagementScore,LeftCompany,Tenure
bdd640fb-0667-4ad1-9c80-317fa3b1799d,Marketing,2020-02-06,59,97701,Satisfactory,16,3.7,0,5
23b8c1e9-3924-46de-beb1-3b9046685257,Finance,2011-08-23,30,56951,Satisfactory,24,3.74,0,13
bd9c66b3-ad3c-4d6d-9a3d-1fa7bc8960a9,Engineering,2011-05-29,24,146975,Good,17,3.24,0,14
972a8469-1641-4f82-8b9d-2434e465e150,Finance,2012-12-02,37,90018,Excellent,19,2.12,0,12
17fc695a-07a0-4a6e-8822-e8f36c031199,Finance,2017-11-26,46,51452,Good,20,3.37,0,7
9a1de644-815e-46d1-bb8f-aa1837f8a88b,Sales,2017-04-07,45,68635,Good,24,3.9,0,8
b74d0fb1-32e7-4629-8fad-c1a606cb0fb3,Engineering,2012-12-24,50,138283,Good,19,2.34,0,12
6b65a6a4-8b81-48f6-b38a-088ca65ed389,Engineering,2022-01-03,47,139332,Good,27,3.43,1,3
47378190-96da-4dac-b2ff-5d2a386ecbe0,Engineering,2016-11-19,59,67933,Good,21,3.88,0,8
c241330b-01a9-471f-9e8a-774bcf36d58b,Finance,2020-11-13,56,74581,Satisfactory,21,3.49,0,4
6c307511-b2b9-437a-a8df-6ec4ce4a2bbd,Marketing,2018-12-29,44,78281,Satisfactory,22,4.83,1,6
371ecd7b-27cd-4130-8722-9389571aa876,Engineering,2022-07-03,25,61187,Satisfactory,14,2.57,0,2
1a2a73ed-562b-4f79-8374-59eef50bea63,IT,2016-01-06,35,62953,Excellent,20,2.27,0,9
5be6128e-18c2-4797-a142-ea7d17be3111,Finance,2021-06-15,28,73818,Good,20,2.37,1,3
43b7a3a6-9a8d-4a03-980d-7b71d8f56413,Sales,2012-02-29,29,64702,Good,18,2.68,1,13
759cde66-bacf-43d0-8b1f-9163ce9ff57f,Marketing,2019-07-08,40,46278,Low,16,2.57,0,5
ec1b8ca1-f91e-4d4c-9ff4-9b7889463e85,IT,2018-08-20,23,84566,Satisfactory,15,3.93,1,6
4b0dbb41-8d52-48f1-942c-3fe860e7a113,IT,2014-07-23,22,99722,Excellent,16,1.48,0,10
e2acf72f-9e57-4f7a-a0ee-89aed453dd32,Sales,2013-08-02,59,58036,Satisfactory,20,2.56,1,11
3139d32c-93cd-49bf-9c94-1cf0dc98d2c1,Marketing,2012-05-14,34,64583,Good,20,4.06,0,13
a9488d99-0bbb-4599-91ce-5dd2b45ed1f0,Finance,2020-07-30,45,110244,Satisfactory,25,3.03,0,4
fc377a4c-4a15-444d-85e7-ce8a3a578a8e,HR,2019-03-18,53,49476,Good,24,2.08,0,6
ddd1dfb2-3b98-4ef8-9af6-1a26146d3f31,Marketing,2019-08-26,51,110854,Good,18,2.76,0,5
7412b293-4729-4739-a14f-f3d719db3ad0,Sales,2020-05-14,27,134805,Good,15,4.36,0,5
29a3b2e9-5d65-4441-9588-42dea2bc372f,IT,2010-01-24,59,78627,Good,18,3.03,1,15
ab9099a4-35a2-40ae-9af3-05535ec42e08,Finance,2018-03-23,54,85441,Good,29,3.48,0,7
aefcfad8-efc8-4849-b3aa-7efe4458a885,Marketing,2010-11-07,44,64754,Good,19,3.02,0,14
a28defe3-9bf0-4273-9247-6f57a5e5a5ab,HR,2013-05-16,31,144897,Excellent,16,4.64,0,12
3eabedcb-baa8-4dd4-88bd-64072bcfbe01,HR,2020-05-16,36,104751,Good,14,2.91,0,5
451b4cf3-6123-4df7-b656-af7229d4beef,Engineering,2017-06-04,44,59979,Satisfactory,22,2.69,1,7
b02b61c4-a3d7-4628-ace6-6fa2fd5166e6,Engineering,2011-02-26,57,110446,Good,23,3.84,0,14
5304317f-af42-412f-b838-b3268e944239,Sales,2014-11-09,22,101161,Good,20,3.73,0,10
0e51f30d-c6a7-4e39-84b0-32ccd7c524a5,Marketing,2019-10-09,29,76022,Excellent,19,3.05,1,5
ce177b4e-0837-48a3-9261-a7ab3aa2e4f9,Marketing,2012-08-04,24,103257,Satisfactory,20,3.37,0,12
10f1bc81-448a-4a9e-a6b2-bc5b50c187fc,IT,2013-04-01,35,44453,Satisfactory,15,3.82,0,12
9132b63e-f162-47e4-a9c3-49e03602f8ac,IT,2015-01-09,38,91575,Excellent,18,2.7,0,10
366eb16f-508e-4ad7-b7c9-3acfe059a0ee,IT,2014-04-14,55,97260,Excellent,24,3.92,0,11
e27a984d-6548-41d0-bfcd-9eb1a7cad415,Engineering,2015-05-02,27,126717,Good,15,3.28,1,10
24933b83-7577-40a9-a491-f0b2ea1fca65,Marketing,2013-08-01,26,128901,Low,16,3.46,0,11
beb79919-3f22-4af8-a3be-d01d43cf2fde,Marketing,2018-03-06,50,131862,Satisfactory,22,2.69,0,7
bf3c4c06-4343-48bc-89fa-6a688fb5d27b,HR,2011-01-22,56,80705,Satisfactory,15,3.19,0,14
956269f0-e5d7-4875-adad-d6c795a76d79,Engineering,2013-03-07,39,95833,Good,23,2.42,0,12
ff50bde4-3825-47b8-9cab-cc97663f1c97,Finance,2018-12-03,51,94029,Satisfactory,19,2.72,0,6
7e570ddf-8270-40a8-a369-b584ff5e9ff0,Engineering,2020-10-08,36,44177,Excellent,27,4.21,0,4
dc713d96-0c0f-4195-817a-f08a1745d6d8,Finance,2017-10-18,36,108965,Low,19,2.25,0,7
28f49481-a0a0-4dc4-a720-9bdf1c11f735,HR,2022-05-19,37,72952,Good,19,2.67,0,3
98ae4334-6c12-4ce8-ae34-0454cac5b68c,Sales,2013-12-10,54,141437,Good,20,2.44,0,11
988c24c9-61b1-4d22-a280-1c4510435a10,Marketing,2019-06-05,31,110514,Good,21,3.54,0,5
405cacec-8774-49a9-b7d2-1e02ff01cf99,HR,2022-04-08,40,147002,Good,24,4.47,0,3
f143262f-dc5c-4eed-8da0-365bf89897b9,Marketing,2010-02-25,58,119309,Good,21,2.98,0,15
1d53434b-b881-49b9-ae27-0da702f06b90,IT,2019-02-07,24,91084,Excellent,25,1.41,0,6
c0398710-8976-4334-a281-7efdae849217,Sales,2010-04-16,57,111710,Good,25,3.83,0,15
5715bd6f-a416-4293-84c2-e2e3444ea7c8,Sales,2018-10-07,25,61796,Low,22,3.1,0,6
287d06ca-6f4c-469a-8b22-d3081c8eaee9,HR,2011-11-01,32,90348,Low,20,3.61,0,13
b8db0672-f42d-47cc-80d4-af5974273ca3,Sales,2022-03-30,54,117413,Excellent,21,3.82,0,3
f8cda88b-436d-46e2-b83c-fe0be037e5ed,Finance,2012-01-13,49,93333,Good,22,2.65,0,13
81f76d1c-2dbc-4134-830f-f46e8026695f,Sales,2012-08-24,53,57722,Excellent,20,2.19,0,12
a013ac6e-deda-4e16-9b3d-bd5ce9a1fa6f,Marketing,2010-11-04,37,128091,Good,22,2.14,0,14
81f631d4-a392-41a7-9777-a4774c66e0a8,Marketing,2015-11-09,30,119098,Satisfactory,24,4.85,0,9
5fb8d16c-2720-497d-b2eb-d6899be578c7,Marketing,2019-06-27,32,112082,Good,25,2.73,0,5
f4188f3f-8a14-4e62-a95b-4715c333e861,Marketing,2010-04-20,27,65258,Good,16,2.79,0,15
eb2263dd-87c5-421e-ac24-a3c5c754108f,Finance,2019-12-12,48,51706,Good,19,3.71,0,5
7d154385-52fb-443b-9954-6eb400257ad1,Engineering,2022-02-22,33,68943,Excellent,24,3.14,0,3
5cec4eb5-edd9-4831-9ca3-5cfb04fc6d82,IT,2015-03-31,43,104324,Good,29,1.16,0,10
ce88cb2d-d4e8-4839-bc3e-058be0f3eab0,HR,2021-09-03,58,62315,Satisfactory,19,2.24,0,3
3da9c2a9-0ed4-4f1a-bd4c-bf374eb93eff,Marketing,2011-07-11,42,50352,Good,17,3.37,0,13
14296c07-f26b-4776-913e-4de2e0c53cb8,Sales,2010-04-15,54,74497,Good,21,2.34,0,15
d0e6e660-7c69-4ee1-bb5e-4bcf15ed6269,Marketing,2015-08-10,38,115145,Good,13,4.61,1,9
885f6e66-c2b6-42c5-ba5d-310011b7e948,Sales,2010-05-26,50,84974,Good,21,2.06,0,15
a8e56e0c-20de-435d-a031-d750c40db9b4,IT,2017-07-26,31,138322,Good,16,2.19,0,7
2a45c2ab-8cbf-4db0-b264-accc79ac1b1e,IT,2012-05-23,39,67228,Good,27,2.26,0,13
9b49bd26-df57-459a-8715-a10343dac043,IT,2010-10-26,34,48882,Good,24,3.65,1,14
edcd465e-3638-4821-b6e0-7cc06c52c49f,Sales,2018-11-13,48,56268,Good,9,2.1,0,6
b09b2a5c-badc-432a-8159-0f538a0f4efb,Marketing,2011-10-08,31,110846,Satisfactory,12,4.6,0,13
66245bfa-4fcc-439a-b683-d2e6337ea2df,IT,2022-12-17,53,64463,Good,16,4.33,0,2
5f987c71-a65e-488e-abf3-ad39fec21bbe,Finance,2018-06-06,24,116789,Good,29,4.01,0,6
7394988f-847f-49b4-a64d-1bcb702753a1,Sales,2016-11-16,43,125940,Low,14,1.7,1,8
1064005c-3985-43cf-bf76-be1d1efa2197,Sales,2012-02-23,48,89314,Excellent,24,3.43,0,13
8dcdcd03-969b-4662-8562-8059568cc69b,Marketing,2011-01-06,24,49827,Satisfactory,18,1.25,0,14
01d74256-3860-4ab6-96a4-02f23ae8cc93,Sales,2011-05-02,54,116474,Low,15,4.48,0,14
0f1259e0-a18f-46b6-b535-106e122c9a56,Sales,2015-07-31,23,73062,Good,18,3.48,0,9
080aadfb-e7c9-4b26-9141-25c63a9bedd4,IT,2018-10-02,32,130690,Satisfactory,18,3.65,0,6
839fbc50-1223-4513-9496-f63cdc1110c1,Marketing,2013-09-22,31,47240,Good,18,2.81,0,11
7c441fe7-ab42-40a7-874a-493b3ceddf2d,IT,2021-09-27,54,145148,Good,23,3.3,0,3
b92da22b-21df-406f-8a0b-3c3336d8393a,IT,2016-03-11,28,41585,Satisfactory,20,3.23,0,9
93829b43-922f-415a-a1e3-db63ef7ddc76,Marketing,2017-03-06,36,92532,Excellent,17,3.39,0,8
7914c120-c8dc-419f-be35-11287900f7f9,HR,2012-08-14,47,50541,Satisfactory,18,3.72,0,12
1825bc54-30be-445f-a835-14f2ceb81f9d,IT,2011-01-16,32,45427,Good,18,1.83,0,14
5ab33edf-6e59-4ed3-a8b3-17fa18d0752b,Finance,2019-12-29,59,132283,Excellent,26,3.34,0,5
dd2467ac-778e-4db3-a93d-ffbc6c6fa611,Finance,2010-08-27,48,128732,Good,16,4.39,0,14
a748dbcf-ac61-4e63-8dde-29a6baa4b71a,Sales,2013-01-10,28,121156,Excellent,17,2.8,0,12
0f844fef-1931-49ee-a56c-0941fbf24050,Finance,2013-10-18,22,49033,Excellent,36,4.47,0,11
ccf3a171-56dc-4907-ba6c-34ab6712303a,Sales,2016-12-27,31,71070,Excellent,20,1.79,0,8
310c0c00-3fa7-4104-9bf9-0e27dc96925e,HR,2016-02-28,42,89104,Satisfactory,18,4.83,0,9
23e2fcb4-72d8-467d-894a-05e430b187ef,Marketing,2014-03-08,36,52199,Good,21,2.06,0,11
766ecb15-474e-4c19-aef9-12766c006f61,Marketing,2014-07-26,51,52776,Excellent,17,3.3,0,10
134c6c92-ec5b-427c-9fde-4fbf3ff350bf,Marketing,2021-04-25,51,62727,Excellent,18,3.46,0,4
db20a56e-dc81-4fe7-8eda-8bbb71710434,Finance,2017-05-15,29,42931,Excellent,24,3.25,0,8
a6f2f7b8-0cf3-4b58-9910-8be58ce21ea3,HR,2020-01-21,45,120379,Excellent,20,2.52,0,5
03c72ba8-d605-4770-8a63-f881ffd0f9d5,Finance,2015-06-20,40,96193,Good,16,4.19,0,9
c0e9ab30-ed26-42e9-97e0-11b7f8102383,Finance,2013-11-26,24,45699,Low,15,2.42,0,11
680ac07a-2a93-4d62-bc83-5dc0d9441fa5,HR,2017-09-13,36,97789,Satisfactory,20,5.0,0,7
dd59ba71-36b8-4481-bb3a-4e3e7c52fa17,HR,2018-11-22,57,126760,Satisfactory,35,2.3,0,6
2a25a888-0f02-4ad0-a706-7ef466aa9385,HR,2017-02-05,27,67321,Satisfactory,13,4.13,0,8
63f2ae24-fc3d-4348-808d-4127610461e3,HR,2014-01-30,39,101032,Satisfactory,20,1.92,0,11
c8fe3ccd-c8b8-49c6-ad30-49cf43e458fc,Marketing,2013-05-09,59,47636,Low,30,2.55,0,12
b253d218-6c4a-47ea-8906-17f2747b6dba,Engineering,2017-01-31,40,107396,Satisfactory,24,1.0,0,8
c88a618e-fed4-457d-bb02-6576f512c4c3,Engineering,2018-05-23,51,54989,Excellent,17,4.33,1,7
7c967f79-b7e9-4aca-a970-65e18e46d534,HR,2012-04-12,34,91086,Satisfactory,26,3.73,0,13
37bb3eec-4bf5-4b52-b09d-258c27a0c3d7,Engineering,2022-11-06,33,142671,Satisfactory,21,1.3,0,2
bc594585-9445-48c0-8ef8-c2d6f7fd5646,Engineering,2016-09-06,55,140475,Good,17,2.09,0,8
504867ba-bf7b-439b-8f9a-ea4b8acd4e10,HR,2014-07-05,33,76062,Excellent,20,1.41,0,10
7a0ecfea-958c-49ba-8cd6-20c20ea2622b,Engineering,2011-03-17,45,119337,Satisfactory,11,2.9,0,14
87f7e1fb-da4b-49ca-ab5c-f46780bacd64,Finance,2014-03-10,25,102125,Satisfactory,19,2.87,0,11
82010c62-f5f5-4b22-8e8f-a8e0284d82e5,Sales,2018-02-13,57,70398,Satisfactory,18,4.14,0,7
118a9d29-2f92-4996-99f1-95d014822f53,Sales,2016-06-25,35,110283,Satisfactory,18,3.08,0,8
dca02eec-acda-4acc-9165-e21098543881,HR,2018-12-31,38,142696,Low,17,4.75,0,6
f10c718b-1eb0-438a-a75d-d5af3c365296,Marketing,2022-10-08,24,110774,Good,10,2.05,1,2
94340a03-3f07-4814-91d6-3f78e3e9de99,HR,2021-11-10,59,42834,Excellent,13,2.89,1,3
14fcdd54-9e8f-4965-8a2c-827e98326856,Marketing,2013-07-28,44,88203,Good,25,2.65,0,11
90b2b633-956b-4c0c-a849-9b926b5252e3,Sales,2018-04-23,34,85676,Good,22,2.68,0,7
42c18a62-ef48-48d5-90fd-9d3f85d51695,HR,2020-02-06,30,66230,Satisfactory,28,3.9,0,5
506e5a9a-b758-488d-ab73-295b344a54b8,IT,2020-11-17,42,112652,Good,19,3.76,0,4
21813d25-6552-48a6-83ff-50113d1a85dd,Finance,2013-03-31,29,108464,Good,26,1.87,0,12
750cab75-4ccc-4bc2-a53f-8a28abf3e3fc,Engineering,2018-12-07,38,133715,Good,15,3.09,0,6
ef8c485b-c07a-40f2-add4-253b50f0fd0a,Marketing,2015-10-09,37,62134,Excellent,22,3.35,0,9
9f044aed-7552-4327-8262-7f7312922f83,IT,2015-01-15,37,144798,Low,22,4.44,0,10
19985f15-ff00-4d4d-9020-59e4ff9ab5c2,Engineering,2021-10-30,49,139976,Excellent,14,4.69,0,3
8181a8cc-3691-47eb-89a2-688b12c136e0,Engineering,2017-07-10,37,48190,Excellent,15,3.59,0,7
5958a499-eeea-463e-a1e8-ac6843e42caf,HR,2022-10-22,35,129364,Satisfactory,18,3.34,0,2
3e896c64-e117-4ac3-919c-4ea3e1805081,Engineering,2021-09-04,59,44350,Satisfactory,10,3.62,0,3
702cdd20-2862-48b8-88f4-ef125e9953d2,Finance,2018-07-31,41,74055,Satisfactory,14,2.3,0,6
4d71c366-b41b-4143-8b10-550cd5704f32,IT,2019-05-14,55,83686,Good,13,2.7,0,6
